linha=1 | nome=Eduarda | acao=estudou computacao | valor=1738
linha=2 | nome=Vitor | acao=executou o benchmark | valor=1863
linha=3 | nome=Gabriela | acao=estudou computacao | valor=7074
linha=4 | nome=Renata | acao=comparou as metricas | valor=6717
linha=5 | nome=Ana | acao=analisou os resultados | valor=9394
linha=6 | nome=Eduarda | acao=participou da aula | valor=2281
linha=7 | nome=Gabriela | acao=executou o benchmark | valor=4307
linha=8 | nome=Joao | acao=escreveu o relatorio | valor=7567
linha=9 | nome=Paulo | acao=comparou as metricas | valor=3509
linha=10 | nome=Paulo | acao=estudou computacao | valor=7242
linha=11 | nome=Helena | acao=estudou computacao | valor=4536
linha=12 | nome=Felipe | acao=fez um experimento | valor=6596
linha=13 | nome=Renata | acao=analisou os resultados | valor=1659
linha=14 | nome=Lucas | acao=estudou computacao | valor=8430
linha=15 | nome=Eduarda | acao=participou da aula | valor=2139
linha=16 | nome=Gabriela | acao=analisou os resultados | valor=2350
linha=17 | nome=Renata | acao=comparou as metricas | valor=8048
linha=18 | nome=Paulo | acao=comparou as metricas | valor=5862
linha=19 | nome=Renata | acao=estudou computacao | valor=8004
linha=20 | nome=Igor | acao=estudou computacao | valor=3397
linha=21 | nome=Renata | acao=estudou computacao | valor=9498
linha=22 | nome=Eduarda | acao=estudou computacao | valor=2929
linha=23 | nome=Igor | acao=escreveu o relatorio | valor=7569
linha=24 | nome=Eduarda | acao=comparou as metricas | valor=3426
linha=25 | nome=Carlos | acao=comparou as metricas | valor=2157
linha=26 | nome=Felipe | acao=escreveu o relatorio | valor=2889
linha=27 | nome=Sofia | acao=executou o benchmark | valor=1013
linha=28 | nome=Mariana | acao=estudou computacao | valor=6170
linha=29 | nome=Mariana | acao=participou da aula | valor=6752
linha=30 | nome=Bruno | acao=participou da aula | valor=3862
linha=31 | nome=Bruno | acao=estudou computacao | valor=3382
linha=32 | nome=Felipe | acao=comparou as metricas | valor=3866
linha=33 | nome=Daniela | acao=escreveu o relatorio | valor=6887
linha=34 | nome=Lucas | acao=estudou computacao | valor=4172
linha=35 | nome=Sofia | acao=executou o benchmark | valor=8907
linha=36 | nome=Karen | acao=fez um experimento | valor=1025
linha=37 | nome=Vitor | acao=fez um experimento | valor=6189
linha=38 | nome=Vitor | acao=fez um experimento | valor=5704
linha=39 | nome=Igor | acao=participou da aula | valor=8812
linha=40 | nome=Gabriela | acao=escreveu o relatorio | valor=8330
linha=41 | nome=Igor | acao=participou da aula | valor=9052
linha=42 | nome=Joao | acao=escreveu o relatorio | valor=9467
linha=43 | nome=Igor | acao=fez um experimento | valor=8883
linha=44 | nome=Paulo | acao=escreveu o relatorio | valor=3470
linha=45 | nome=Helena | acao=comparou as metricas | valor=9244
linha=46 | nome=Helena | acao=otimizou o algoritmo | valor=5093
linha=47 | nome=Sofia | acao=escreveu o relatorio | valor=6197
linha=48 | nome=Igor | acao=otimizou o algoritmo | valor=6107
linha=49 | nome=Natalia | acao=participou da aula | valor=6786
linha=50 | nome=Daniela | acao=escreveu o relatorio | valor=4092
linha=51 | nome=Mariana | acao=fez um experimento | valor=1544
linha=52 | nome=Tiago | acao=otimizou o algoritmo | valor=3184
linha=53 | nome=Mariana | acao=fez um experimento | valor=5942
linha=54 | nome=Paulo | acao=otimizou o algoritmo | valor=6250
linha=55 | nome=Paulo | acao=otimizou o algoritmo | valor=9227
linha=56 | nome=Otavio | acao=comparou as metricas | valor=7914
linha=57 | nome=Ana | acao=participou da aula | valor=6368
linha=58 | nome=Daniela | acao=executou o benchmark | valor=8583
linha=59 | nome=Bruno | acao=comparou as metricas | valor=5763
linha=60 | nome=Helena | acao=comparou as metricas | valor=1962
linha=61 | nome=Paulo | acao=participou da aula | valor=6554
linha=62 | nome=Tiago | acao=estudou computacao | valor=3952
linha=63 | nome=Ana | acao=estudou computacao | valor=2714
linha=64 | nome=Gabriela | acao=analisou os resultados | valor=4126
linha=65 | nome=Bruno | acao=fez um experimento | valor=8414
linha=66 | nome=Carlos | acao=estudou computacao | valor=3597
linha=67 | nome=Bruno | acao=otimizou o algoritmo | valor=7746
linha=68 | nome=Joao | acao=analisou os resultados | valor=3396
linha=69 | nome=Renata | acao=executou o benchmark | valor=8436
linha=70 | nome=Natalia | acao=otimizou o algoritmo | valor=7229
linha=71 | nome=Eduarda | acao=otimizou o algoritmo | valor=3952
linha=72 | nome=Lucas | acao=executou o benchmark | valor=4927
