linha=1 | nome=Sofia | acao=escreveu o relatorio | valor=3112
linha=2 | nome=Carlos | acao=participou da aula | valor=8086
linha=3 | nome=Karen | acao=otimizou o algoritmo | valor=2150
linha=4 | nome=Sofia | acao=otimizou o algoritmo | valor=2550
linha=5 | nome=Ana | acao=otimizou o algoritmo | valor=5232
linha=6 | nome=Carlos | acao=otimizou o algoritmo | valor=5122
linha=7 | nome=Paulo | acao=escreveu o relatorio | valor=8300
linha=8 | nome=Igor | acao=comparou as metricas | valor=5669
linha=9 | nome=Daniela | acao=estudou computacao | valor=9361
linha=10 | nome=Gabriela | acao=comparou as metricas | valor=2706
linha=11 | nome=Sofia | acao=escreveu o relatorio | valor=1580
linha=12 | nome=Helena | acao=fez um experimento | valor=2768
linha=13 | nome=Igor | acao=estudou computacao | valor=8920
linha=14 | nome=Otavio | acao=participou da aula | valor=7805
linha=15 | nome=Felipe | acao=fez um experimento | valor=6065
linha=16 | nome=Mariana | acao=escreveu o relatorio | valor=6906
linha=17 | nome=Felipe | acao=estudou computacao | valor=8949
linha=18 | nome=Ana | acao=executou o benchmark | valor=5079
linha=19 | nome=Otavio | acao=comparou as metricas | valor=4078
linha=20 | nome=Natalia | acao=comparou as metricas | valor=8765
linha=21 | nome=Bruno | acao=comparou as metricas | valor=1267
linha=22 | nome=Paulo | acao=participou da aula | valor=7427
linha=23 | nome=Natalia | acao=otimizou o algoritmo | valor=2123
linha=24 | nome=Lucas | acao=otimizou o algoritmo | valor=3096
linha=25 | nome=Renata | acao=escreveu o relatorio | valor=7193
linha=26 | nome=Gabriela | acao=fez um experimento | valor=9628
linha=27 | nome=Otavio | acao=estudou computacao | valor=3710
linha=28 | nome=Joao | acao=fez um experimento | valor=2672
linha=29 | nome=Bruno | acao=fez um experimento | valor=5871
linha=30 | nome=Carlos | acao=executou o benchmark | valor=9409
linha=31 | nome=Karen | acao=otimizou o algoritmo | valor=3989
linha=32 | nome=Sofia | acao=executou o benchmark | valor=6313
linha=33 | nome=Vitor | acao=estudou computacao | valor=4691
linha=34 | nome=Lucas | acao=executou o benchmark | valor=9644
linha=35 | nome=Natalia | acao=comparou as metricas | valor=1752
linha=36 | nome=Paulo | acao=fez um experimento | valor=1913
linha=37 | nome=Natalia | acao=estudou computacao | valor=4802
linha=38 | nome=Eduarda | acao=participou da aula | valor=2559
linha=39 | nome=Sofia | acao=executou o benchmark | valor=5492
linha=40 | nome=Igor | acao=estudou computacao | valor=4953
linha=41 | nome=Helena | acao=executou o benchmark | valor=2251
linha=42 | nome=Carlos | acao=participou da aula | valor=5987
linha=43 | nome=Joao | acao=comparou as metricas | valor=5972
linha=44 | nome=Bruno | acao=otimizou o algoritmo | valor=2401
linha=45 | nome=Gabriela | acao=fez um experimento | valor=1269
linha=46 | nome=Bruno | acao=otimizou o algoritmo | valor=2799
linha=47 | nome=Natalia | acao=estudou computacao | valor=8712
linha=48 | nome=Karen | acao=participou da aula | valor=4895
linha=49 | nome=Bruno | acao=estudou computacao | valor=6194
linha=50 | nome=Vitor | acao=participou da aula | valor=4065
linha=51 | nome=Helena | acao=analisou os resultados | valor=8456
linha=52 | nome=Tiago | acao=fez um experimento | valor=3635
linha=53 | nome=Carlos | acao=analisou os resultados | valor=6372
linha=54 | nome=Carlos | acao=fez um experimento | valor=9028
linha=55 | nome=Carlos | acao=comparou as metricas | valor=4083
linha=56 | nome=Tiago | acao=comparou as metricas | valor=1513
linha=57 | nome=Eduarda | acao=executou o benchmark | valor=6004
linha=58 | nome=Joao | acao=otimizou o algoritmo | valor=1702
linha=59 | nome=Lucas | acao=analisou os resultados | valor=9336
linha=60 | nome=Otavio | acao=otimizou o algoritmo | valor=5995
linha=61 | nome=Otavio | acao=analisou os resultados | valor=3882
linha=62 | nome=Bruno | acao=executou o benchmark | valor=8091
linha=63 | nome=Ana | acao=participou da aula | valor=6806
linha=64 | nome=Lucas | acao=fez um experimento | valor=9555
linha=65 | nome=Felipe | acao=fez um experimento | valor=3583
linha=66 | nome=Tiago | acao=participou da aula | valor=4180
linha=67 | nome=Sofia | acao=participou da aula | valor=3007
linha=68 | nome=Helena | acao=comparou as metricas | valor=8514
linha=69 | nome=Vitor | acao=executou o benchmark | valor=4879
linha=70 | nome=Joao | acao=participou da aula | valor=8782
linha=71 | nome=Carlos | acao=analisou os resultados | valor=6208
linha=72 | nome=Daniela | acao=comparou as metricas | valor=4232
linha=73 | nome=Igor | acao=analisou os resultados | valor=4234
linha=74 | nome=Sofia | acao=participou da aula | valor=8328
linha=75 | nome=Eduarda | acao=analisou os resultados | valor=6372
linha=76 | nome=Paulo | acao=participou da aula | valor=4752
linha=77 | nome=Lucas | acao=escreveu o relatorio | valor=1931
linha=78 | nome=Helena | acao=fez um experimento | valor=8852
