linha=1 | nome=Gabriela | acao=comparou as metricas | valor=4077
linha=2 | nome=Lucas | acao=estudou computacao | valor=3749
linha=3 | nome=Vitor | acao=analisou os resultados | valor=2412
linha=4 | nome=Renata | acao=comparou as metricas | valor=9984
linha=5 | nome=Daniela | acao=analisou os resultados | valor=2769
linha=6 | nome=Ana | acao=comparou as metricas | valor=8103
linha=7 | nome=Joao | acao=fez um experimento | valor=8475
linha=8 | nome=Lucas | acao=executou o benchmark | valor=2101
linha=9 | nome=Helena | acao=comparou as metricas | valor=7571
linha=10 | nome=Lucas | acao=otimizou o algoritmo | valor=5412
linha=11 | nome=Sofia | acao=comparou as metricas | valor=5142
linha=12 | nome=Joao | acao=otimizou o algoritmo | valor=9067
linha=13 | nome=Karen | acao=comparou as metricas | valor=7160
linha=14 | nome=Mariana | acao=comparou as metricas | valor=4616
linha=15 | nome=Felipe | acao=escreveu o relatorio | valor=3448
linha=16 | nome=Gabriela | acao=escreveu o relatorio | valor=2963
linha=17 | nome=Felipe | acao=otimizou o algoritmo | valor=1509
linha=18 | nome=Bruno | acao=otimizou o algoritmo | valor=7845
linha=19 | nome=Eduarda | acao=estudou computacao | valor=3452
linha=20 | nome=Felipe | acao=otimizou o algoritmo | valor=6989
linha=21 | nome=Ana | acao=participou da aula | valor=8158
linha=22 | nome=Eduarda | acao=estudou computacao | valor=8227
linha=23 | nome=Paulo | acao=participou da aula | valor=4168
linha=24 | nome=Gabriela | acao=fez um experimento | valor=8577
linha=25 | nome=Bruno | acao=fez um experimento | valor=6474
linha=26 | nome=Paulo | acao=participou da aula | valor=7592
linha=27 | nome=Gabriela | acao=executou o benchmark | valor=2505
linha=28 | nome=Paulo | acao=estudou computacao | valor=4065
linha=29 | nome=Renata | acao=otimizou o algoritmo | valor=3250
linha=30 | nome=Ana | acao=otimizou o algoritmo | valor=3944
linha=31 | nome=Ana | acao=escreveu o relatorio | valor=5581
linha=32 | nome=Mariana | acao=analisou os resultados | valor=5236
linha=33 | nome=Lucas | acao=comparou as metricas | valor=3025
linha=34 | nome=Karen | acao=fez um experimento | valor=9841
linha=35 | nome=Igor | acao=comparou as metricas | valor=6518
linha=36 | nome=Ana | acao=executou o benchmark | valor=9201
linha=37 | nome=Mariana | acao=participou da aula | valor=5290
linha=38 | nome=Renata | acao=participou da aula | valor=6415
linha=39 | nome=Felipe | acao=participou da aula | valor=2944
linha=40 | nome=Sofia | acao=analisou os resultados | valor=4197
