linha=1 | nome=Igor | acao=otimizou o algoritmo | valor=1237
linha=2 | nome=Natalia | acao=executou o benchmark | valor=3310
linha=3 | nome=Bruno | acao=analisou os resultados | valor=4992
linha=4 | nome=Eduarda | acao=otimizou o algoritmo | valor=3536
linha=5 | nome=Helena | acao=executou o benchmark | valor=7882
linha=6 | nome=Helena | acao=participou da aula | valor=8504
linha=7 | nome=Vitor | acao=participou da aula | valor=2413
linha=8 | nome=Mariana | acao=participou da aula | valor=5405
linha=9 | nome=Felipe | acao=participou da aula | valor=6085
linha=10 | nome=Paulo | acao=comparou as metricas | valor=6887
linha=11 | nome=Sofia | acao=escreveu o relatorio | valor=5338
linha=12 | nome=Tiago | acao=executou o benchmark | valor=7374
linha=13 | nome=Helena | acao=fez um experimento | valor=8285
linha=14 | nome=Helena | acao=comparou as metricas | valor=2767
linha=15 | nome=Paulo | acao=comparou as metricas | valor=4145
linha=16 | nome=Otavio | acao=escreveu o relatorio | valor=7504
linha=17 | nome=Lucas | acao=participou da aula | valor=7014
linha=18 | nome=Joao | acao=fez um experimento | valor=4598
linha=19 | nome=Helena | acao=fez um experimento | valor=2131
linha=20 | nome=Vitor | acao=participou da aula | valor=6968
linha=21 | nome=Paulo | acao=escreveu o relatorio | valor=7180
linha=22 | nome=Gabriela | acao=escreveu o relatorio | valor=6912
linha=23 | nome=Ana | acao=comparou as metricas | valor=2548
linha=24 | nome=Eduarda | acao=escreveu o relatorio | valor=7003
linha=25 | nome=Natalia | acao=otimizou o algoritmo | valor=7249
linha=26 | nome=Lucas | acao=fez um experimento | valor=6353
linha=27 | nome=Felipe | acao=fez um experimento | valor=9421
linha=28 | nome=Bruno | acao=executou o benchmark | valor=6311
linha=29 | nome=Renata | acao=participou da aula | valor=4911
linha=30 | nome=Eduarda | acao=comparou as metricas | valor=1367
linha=31 | nome=Felipe | acao=analisou os resultados | valor=2330
linha=32 | nome=Otavio | acao=fez um experimento | valor=1437
linha=33 | nome=Igor | acao=analisou os resultados | valor=9405
linha=34 | nome=Karen | acao=estudou computacao | valor=4421
linha=35 | nome=Natalia | acao=fez um experimento | valor=5579
linha=36 | nome=Lucas | acao=analisou os resultados | valor=5020
linha=37 | nome=Sofia | acao=estudou computacao | valor=9844
linha=38 | nome=Otavio | acao=analisou os resultados | valor=1386
linha=39 | nome=Renata | acao=participou da aula | valor=7397
linha=40 | nome=Bruno | acao=escreveu o relatorio | valor=2527
linha=41 | nome=Renata | acao=escreveu o relatorio | valor=4701
linha=42 | nome=Tiago | acao=executou o benchmark | valor=4144
linha=43 | nome=Carlos | acao=comparou as metricas | valor=4108
linha=44 | nome=Otavio | acao=participou da aula | valor=2543
linha=45 | nome=Felipe | acao=comparou as metricas | valor=4792
linha=46 | nome=Felipe | acao=fez um experimento | valor=9890
linha=47 | nome=Karen | acao=escreveu o relatorio | valor=2055
linha=48 | nome=Tiago | acao=escreveu o relatorio | valor=6971
linha=49 | nome=Sofia | acao=estudou computacao | valor=8587
linha=50 | nome=Tiago | acao=otimizou o algoritmo | valor=4214
linha=51 | nome=Paulo | acao=escreveu o relatorio | valor=2784
linha=52 | nome=Felipe | acao=participou da aula | valor=4364
linha=53 | nome=Vitor | acao=executou o benchmark | valor=3485
linha=54 | nome=Tiago | acao=escreveu o relatorio | valor=8577
linha=55 | nome=Otavio | acao=executou o benchmark | valor=2950
linha=56 | nome=Mariana | acao=comparou as metricas | valor=3501
linha=57 | nome=Gabriela | acao=fez um experimento | valor=6853
linha=58 | nome=Eduarda | acao=estudou computacao | valor=5021
linha=59 | nome=Ana | acao=fez um experimento | valor=5501
linha=60 | nome=Renata | acao=executou o benchmark | valor=4402
linha=61 | nome=Tiago | acao=escreveu o relatorio | valor=8649
linha=62 | nome=Sofia | acao=comparou as metricas | valor=7135
linha=63 | nome=Gabriela | acao=comparou as metricas | valor=3110
linha=64 | nome=Carlos | acao=escreveu o relatorio | valor=4978
linha=65 | nome=Mariana | acao=participou da aula | valor=4060
linha=66 | nome=Daniela | acao=escreveu o relatorio | valor=6468
linha=67 | nome=Natalia | acao=analisou os resultados | valor=7954
linha=68 | nome=Eduarda | acao=executou o benchmark | valor=7357
linha=69 | nome=Joao | acao=fez um experimento | valor=4217
linha=70 | nome=Tiago | acao=executou o benchmark | valor=5257
linha=71 | nome=Gabriela | acao=comparou as metricas | valor=9002
linha=72 | nome=Daniela | acao=escreveu o relatorio | valor=1991
linha=73 | nome=Paulo | acao=executou o benchmark | valor=8922
linha=74 | nome=Bruno | acao=participou da aula | valor=2485
linha=75 | nome=Paulo | acao=fez um experimento | valor=1109
linha=76 | nome=Otavio | acao=executou o benchmark | valor=4406
linha=77 | nome=Igor | acao=estudou computacao | valor=4580
linha=78 | nome=Gabriela | acao=analisou os resultados | valor=5019
linha=79 | nome=Eduarda | acao=fez um experimento | valor=9034
linha=80 | nome=Tiago | acao=otimizou o algoritmo | valor=7509
linha=81 | nome=Vitor | acao=fez um experimento | valor=6778
linha=82 | nome=Karen | acao=fez um experimento | valor=5630
linha=83 | nome=Helena | acao=comparou as metricas | valor=1033
linha=84 | nome=Bruno | acao=escreveu o relatorio | valor=4797
linha=85 | nome=Karen | acao=otimizou o algoritmo | valor=1544
linha=86 | nome=Natalia | acao=participou da aula | valor=4311
linha=87 | nome=Ana | acao=executou o benchmark | valor=5234
linha=88 | nome=Mariana | acao=fez um experimento | valor=4393
linha=89 | nome=Helena | acao=participou da aula | valor=9363
linha=90 | nome=Sofia | acao=estudou computacao | valor=5558
linha=91 | nome=Sofia | acao=fez um experimento | valor=3430
linha=92 | nome=Bruno | acao=otimizou o algoritmo | valor=9359
linha=93 | nome=Felipe | acao=escreveu o relatorio | valor=8690
linha=94 | nome=Helena | acao=otimizou o algoritmo | valor=8900
linha=95 | nome=Joao | acao=comparou as metricas | valor=8710
linha=96 | nome=Helena | acao=estudou computacao | valor=1022
linha=97 | nome=Helena | acao=analisou os resultados | valor=3789
linha=98 | nome=Mariana | acao=analisou os resultados | valor=7114
linha=99 | nome=Vitor | acao=estudou computacao | valor=1885
linha=100 | nome=Ana | acao=otimizou o algoritmo | valor=5730
linha=101 | nome=Daniela | acao=executou o benchmark | valor=1845
linha=102 | nome=Bruno | acao=participou da aula | valor=1205
linha=103 | nome=Mariana | acao=participou da aula | valor=8679
linha=104 | nome=Otavio | acao=comparou as metricas | valor=4527
linha=105 | nome=Mariana | acao=analisou os resultados | valor=7179
linha=106 | nome=Gabriela | acao=comparou as metricas | valor=4123
linha=107 | nome=Vitor | acao=executou o benchmark | valor=9037
linha=108 | nome=Gabriela | acao=executou o benchmark | valor=9809
linha=109 | nome=Lucas | acao=otimizou o algoritmo | valor=6239
linha=110 | nome=Lucas | acao=participou da aula | valor=3731
linha=111 | nome=Daniela | acao=otimizou o algoritmo | valor=3247
linha=112 | nome=Felipe | acao=otimizou o algoritmo | valor=3816
