linha=1 | nome=Igor | acao=estudou computacao | valor=3412
linha=2 | nome=Tiago | acao=comparou as metricas | valor=4236
linha=3 | nome=Gabriela | acao=analisou os resultados | valor=9846
linha=4 | nome=Paulo | acao=comparou as metricas | valor=7915
linha=5 | nome=Carlos | acao=participou da aula | valor=4609
linha=6 | nome=Joao | acao=analisou os resultados | valor=6134
linha=7 | nome=Natalia | acao=participou da aula | valor=7314
linha=8 | nome=Lucas | acao=executou o benchmark | valor=2797
linha=9 | nome=Eduarda | acao=otimizou o algoritmo | valor=3024
linha=10 | nome=Lucas | acao=analisou os resultados | valor=6175
linha=11 | nome=Daniela | acao=comparou as metricas | valor=1634
linha=12 | nome=Natalia | acao=comparou as metricas | valor=5650
linha=13 | nome=Natalia | acao=escreveu o relatorio | valor=3966
linha=14 | nome=Bruno | acao=comparou as metricas | valor=6018
linha=15 | nome=Eduarda | acao=otimizou o algoritmo | valor=2872
linha=16 | nome=Tiago | acao=otimizou o algoritmo | valor=4601
linha=17 | nome=Bruno | acao=fez um experimento | valor=3191
linha=18 | nome=Sofia | acao=estudou computacao | valor=7416
linha=19 | nome=Daniela | acao=otimizou o algoritmo | valor=5422
linha=20 | nome=Karen | acao=participou da aula | valor=5747
linha=21 | nome=Lucas | acao=analisou os resultados | valor=2500
linha=22 | nome=Bruno | acao=comparou as metricas | valor=5791
linha=23 | nome=Igor | acao=escreveu o relatorio | valor=5588
linha=24 | nome=Bruno | acao=fez um experimento | valor=8214
linha=25 | nome=Natalia | acao=fez um experimento | valor=6408
linha=26 | nome=Daniela | acao=analisou os resultados | valor=7369
linha=27 | nome=Karen | acao=analisou os resultados | valor=2334
linha=28 | nome=Gabriela | acao=estudou computacao | valor=7845
linha=29 | nome=Igor | acao=participou da aula | valor=3713
linha=30 | nome=Mariana | acao=escreveu o relatorio | valor=6933
linha=31 | nome=Karen | acao=estudou computacao | valor=4723
linha=32 | nome=Joao | acao=otimizou o algoritmo | valor=8937
linha=33 | nome=Vitor | acao=otimizou o algoritmo | valor=4602
linha=34 | nome=Bruno | acao=escreveu o relatorio | valor=8318
linha=35 | nome=Gabriela | acao=participou da aula | valor=3976
linha=36 | nome=Mariana | acao=otimizou o algoritmo | valor=8048
linha=37 | nome=Lucas | acao=executou o benchmark | valor=2446
linha=38 | nome=Ana | acao=otimizou o algoritmo | valor=4910
linha=39 | nome=Renata | acao=estudou computacao | valor=8372
linha=40 | nome=Otavio | acao=estudou computacao | valor=4056
linha=41 | nome=Natalia | acao=escreveu o relatorio | valor=7480
linha=42 | nome=Lucas | acao=comparou as metricas | valor=9566
linha=43 | nome=Carlos | acao=fez um experimento | valor=9998
linha=44 | nome=Igor | acao=executou o benchmark | valor=6600
linha=45 | nome=Helena | acao=comparou as metricas | valor=7438
linha=46 | nome=Gabriela | acao=escreveu o relatorio | valor=3221
linha=47 | nome=Mariana | acao=executou o benchmark | valor=1027
linha=48 | nome=Sofia | acao=estudou computacao | valor=5000
linha=49 | nome=Ana | acao=analisou os resultados | valor=5214
linha=50 | nome=Lucas | acao=analisou os resultados | valor=7957
linha=51 | nome=Natalia | acao=estudou computacao | valor=5523
linha=52 | nome=Sofia | acao=comparou as metricas | valor=1763
linha=53 | nome=Igor | acao=executou o benchmark | valor=8909
linha=54 | nome=Carlos | acao=otimizou o algoritmo | valor=5525
linha=55 | nome=Ana | acao=estudou computacao | valor=7650
linha=56 | nome=Tiago | acao=fez um experimento | valor=2921
linha=57 | nome=Igor | acao=otimizou o algoritmo | valor=6712
linha=58 | nome=Natalia | acao=estudou computacao | valor=1263
linha=59 | nome=Carlos | acao=escreveu o relatorio | valor=7896
linha=60 | nome=Felipe | acao=escreveu o relatorio | valor=5486
linha=61 | nome=Karen | acao=comparou as metricas | valor=8507
linha=62 | nome=Daniela | acao=fez um experimento | valor=6456
linha=63 | nome=Joao | acao=executou o benchmark | valor=1487
linha=64 | nome=Gabriela | acao=estudou computacao | valor=9919
linha=65 | nome=Daniela | acao=estudou computacao | valor=8770
linha=66 | nome=Natalia | acao=escreveu o relatorio | valor=9069
linha=67 | nome=Ana | acao=executou o benchmark | valor=7179
linha=68 | nome=Carlos | acao=executou o benchmark | valor=5121
linha=69 | nome=Ana | acao=escreveu o relatorio | valor=9222
linha=70 | nome=Ana | acao=fez um experimento | valor=8772
linha=71 | nome=Eduarda | acao=fez um experimento | valor=7196
linha=72 | nome=Mariana | acao=comparou as metricas | valor=3350
linha=73 | nome=Lucas | acao=comparou as metricas | valor=8035
linha=74 | nome=Natalia | acao=escreveu o relatorio | valor=7084
linha=75 | nome=Igor | acao=otimizou o algoritmo | valor=1037
linha=76 | nome=Carlos | acao=estudou computacao | valor=4977
linha=77 | nome=Vitor | acao=analisou os resultados | valor=8072
linha=78 | nome=Igor | acao=otimizou o algoritmo | valor=5932
linha=79 | nome=Lucas | acao=otimizou o algoritmo | valor=5736
linha=80 | nome=Lucas | acao=analisou os resultados | valor=7789
linha=81 | nome=Bruno | acao=otimizou o algoritmo | valor=7536
linha=82 | nome=Felipe | acao=otimizou o algoritmo | valor=4132
linha=83 | nome=Gabriela | acao=comparou as metricas | valor=9464
linha=84 | nome=Lucas | acao=escreveu o relatorio | valor=2799
linha=85 | nome=Daniela | acao=analisou os resultados | valor=7642
linha=86 | nome=Mariana | acao=participou da aula | valor=4105
linha=87 | nome=Karen | acao=participou da aula | valor=2232
linha=88 | nome=Felipe | acao=estudou computacao | valor=4461
linha=89 | nome=Mariana | acao=comparou as metricas | valor=7226
linha=90 | nome=Bruno | acao=otimizou o algoritmo | valor=5700
linha=91 | nome=Natalia | acao=analisou os resultados | valor=4392
linha=92 | nome=Tiago | acao=comparou as metricas | valor=2836
linha=93 | nome=Ana | acao=comparou as metricas | valor=8124
linha=94 | nome=Natalia | acao=analisou os resultados | valor=1141
linha=95 | nome=Carlos | acao=analisou os resultados | valor=8672
linha=96 | nome=Gabriela | acao=executou o benchmark | valor=2119
linha=97 | nome=Bruno | acao=fez um experimento | valor=8385
linha=98 | nome=Bruno | acao=comparou as metricas | valor=1265
linha=99 | nome=Sofia | acao=participou da aula | valor=9656
linha=100 | nome=Mariana | acao=fez um experimento | valor=6665
linha=101 | nome=Natalia | acao=escreveu o relatorio | valor=8354
linha=102 | nome=Igor | acao=participou da aula | valor=9412
linha=103 | nome=Eduarda | acao=escreveu o relatorio | valor=2567
linha=104 | nome=Igor | acao=executou o benchmark | valor=7680
linha=105 | nome=Natalia | acao=otimizou o algoritmo | valor=1293
linha=106 | nome=Otavio | acao=executou o benchmark | valor=3104
linha=107 | nome=Paulo | acao=participou da aula | valor=6518
linha=108 | nome=Natalia | acao=executou o benchmark | valor=2401
linha=109 | nome=Eduarda | acao=otimizou o algoritmo | valor=2114
linha=110 | nome=Lucas | acao=fez um experimento | valor=6794
linha=111 | nome=Vitor | acao=fez um experimento | valor=7819
linha=112 | nome=Tiago | acao=fez um experimento | valor=5884
linha=113 | nome=Tiago | acao=executou o benchmark | valor=5290
linha=114 | nome=Vitor | acao=executou o benchmark | valor=4737
linha=115 | nome=Karen | acao=participou da aula | valor=4879
linha=116 | nome=Igor | acao=fez um experimento | valor=8072
linha=117 | nome=Bruno | acao=analisou os resultados | valor=4985
linha=118 | nome=Lucas | acao=fez um experimento | valor=2607
linha=119 | nome=Joao | acao=participou da aula | valor=7946
linha=120 | nome=Carlos | acao=escreveu o relatorio | valor=2727
linha=121 | nome=Joao | acao=participou da aula | valor=2000
linha=122 | nome=Carlos | acao=otimizou o algoritmo | valor=9245
linha=123 | nome=Joao | acao=comparou as metricas | valor=8855
linha=124 | nome=Daniela | acao=comparou as metricas | valor=4228
linha=125 | nome=Mariana | acao=otimizou o algoritmo | valor=8621
linha=126 | nome=Felipe | acao=otimizou o algoritmo | valor=7573
linha=127 | nome=Mariana | acao=fez um experimento | valor=8112
