linha=1 | nome=Vitor | acao=otimizou o algoritmo | valor=8777
linha=2 | nome=Bruno | acao=analisou os resultados | valor=6164
linha=3 | nome=Joao | acao=participou da aula | valor=6691
linha=4 | nome=Mariana | acao=estudou computacao | valor=2741
linha=5 | nome=Tiago | acao=escreveu o relatorio | valor=6652
linha=6 | nome=Karen | acao=participou da aula | valor=6674
linha=7 | nome=Karen | acao=analisou os resultados | valor=3556
linha=8 | nome=Bruno | acao=analisou os resultados | valor=4891
linha=9 | nome=Tiago | acao=escreveu o relatorio | valor=9552
linha=10 | nome=Lucas | acao=analisou os resultados | valor=3872
linha=11 | nome=Mariana | acao=escreveu o relatorio | valor=5073
linha=12 | nome=Mariana | acao=analisou os resultados | valor=9277
linha=13 | nome=Renata | acao=participou da aula | valor=3239
linha=14 | nome=Mariana | acao=analisou os resultados | valor=3859
linha=15 | nome=Natalia | acao=fez um experimento | valor=3878
linha=16 | nome=Mariana | acao=fez um experimento | valor=4466
linha=17 | nome=Gabriela | acao=comparou as metricas | valor=2832
linha=18 | nome=Felipe | acao=fez um experimento | valor=9871
linha=19 | nome=Gabriela | acao=otimizou o algoritmo | valor=8640
linha=20 | nome=Igor | acao=escreveu o relatorio | valor=4848
linha=21 | nome=Mariana | acao=executou o benchmark | valor=4084
linha=22 | nome=Igor | acao=escreveu o relatorio | valor=2757
linha=23 | nome=Bruno | acao=participou da aula | valor=2437
linha=24 | nome=Ana | acao=analisou os resultados | valor=6717
linha=25 | nome=Vitor | acao=estudou computacao | valor=8131
linha=26 | nome=Lucas | acao=fez um experimento | valor=8455
linha=27 | nome=Lucas | acao=otimizou o algoritmo | valor=2734
linha=28 | nome=Vitor | acao=participou da aula | valor=1119
linha=29 | nome=Ana | acao=analisou os resultados | valor=3559
linha=30 | nome=Natalia | acao=executou o benchmark | valor=3014
linha=31 | nome=Paulo | acao=otimizou o algoritmo | valor=5329
linha=32 | nome=Vitor | acao=fez um experimento | valor=9602
linha=33 | nome=Paulo | acao=estudou computacao | valor=3903
linha=34 | nome=Karen | acao=executou o benchmark | valor=5489
linha=35 | nome=Daniela | acao=escreveu o relatorio | valor=2826
linha=36 | nome=Natalia | acao=estudou computacao | valor=7786
linha=37 | nome=Helena | acao=estudou computacao | valor=8374
linha=38 | nome=Natalia | acao=otimizou o algoritmo | valor=1320
linha=39 | nome=Vitor | acao=fez um experimento | valor=6965
linha=40 | nome=Tiago | acao=executou o benchmark | valor=6654
linha=41 | nome=Mariana | acao=fez um experimento | valor=4352
linha=42 | nome=Gabriela | acao=participou da aula | valor=5184
linha=43 | nome=Sofia | acao=executou o benchmark | valor=5722
linha=44 | nome=Mariana | acao=estudou computacao | valor=5292
linha=45 | nome=Carlos | acao=fez um experimento | valor=5377
linha=46 | nome=Otavio | acao=analisou os resultados | valor=5515
linha=47 | nome=Tiago | acao=estudou computacao | valor=1550
linha=48 | nome=Renata | acao=estudou computacao | valor=1561
linha=49 | nome=Felipe | acao=participou da aula | valor=8334
linha=50 | nome=Igor | acao=comparou as metricas | valor=8115
linha=51 | nome=Otavio | acao=analisou os resultados | valor=8567
linha=52 | nome=Tiago | acao=estudou computacao | valor=1282
linha=53 | nome=Karen | acao=otimizou o algoritmo | valor=3942
linha=54 | nome=Tiago | acao=analisou os resultados | valor=7211
linha=55 | nome=Helena | acao=participou da aula | valor=4478
linha=56 | nome=Igor | acao=participou da aula | valor=9601
linha=57 | nome=Igor | acao=estudou computacao | valor=5263
linha=58 | nome=Gabriela | acao=estudou computacao | valor=7782
linha=59 | nome=Renata | acao=escreveu o relatorio | valor=8306
linha=60 | nome=Ana | acao=participou da aula | valor=1778
linha=61 | nome=Paulo | acao=escreveu o relatorio | valor=8507
linha=62 | nome=Lucas | acao=fez um experimento | valor=5928
linha=63 | nome=Daniela | acao=comparou as metricas | valor=1264
linha=64 | nome=Mariana | acao=participou da aula | valor=7081
linha=65 | nome=Mariana | acao=otimizou o algoritmo | valor=6838
linha=66 | nome=Ana | acao=executou o benchmark | valor=4858
linha=67 | nome=Karen | acao=escreveu o relatorio | valor=7951
linha=68 | nome=Natalia | acao=estudou computacao | valor=4723
linha=69 | nome=Felipe | acao=fez um experimento | valor=3523
linha=70 | nome=Lucas | acao=otimizou o algoritmo | valor=3008
linha=71 | nome=Otavio | acao=analisou os resultados | valor=4801
linha=72 | nome=Joao | acao=participou da aula | valor=6271
linha=73 | nome=Ana | acao=comparou as metricas | valor=4029
linha=74 | nome=Carlos | acao=comparou as metricas | valor=1359
linha=75 | nome=Gabriela | acao=executou o benchmark | valor=9564
linha=76 | nome=Bruno | acao=analisou os resultados | valor=9129
linha=77 | nome=Eduarda | acao=analisou os resultados | valor=6849
linha=78 | nome=Paulo | acao=analisou os resultados | valor=7224
linha=79 | nome=Natalia | acao=fez um experimento | valor=5343
linha=80 | nome=Joao | acao=escreveu o relatorio | valor=7514
linha=81 | nome=Vitor | acao=participou da aula | valor=7609
linha=82 | nome=Otavio | acao=comparou as metricas | valor=5563
linha=83 | nome=Gabriela | acao=comparou as metricas | valor=4137
linha=84 | nome=Gabriela | acao=analisou os resultados | valor=8271
linha=85 | nome=Paulo | acao=otimizou o algoritmo | valor=8316
linha=86 | nome=Joao | acao=estudou computacao | valor=4730
linha=87 | nome=Natalia | acao=escreveu o relatorio | valor=3348
linha=88 | nome=Otavio | acao=fez um experimento | valor=1245
linha=89 | nome=Natalia | acao=estudou computacao | valor=5498
linha=90 | nome=Helena | acao=escreveu o relatorio | valor=4571
linha=91 | nome=Mariana | acao=comparou as metricas | valor=6624
linha=92 | nome=Renata | acao=comparou as metricas | valor=8350
linha=93 | nome=Igor | acao=analisou os resultados | valor=3074
linha=94 | nome=Tiago | acao=fez um experimento | valor=8597
linha=95 | nome=Helena | acao=analisou os resultados | valor=8907
linha=96 | nome=Joao | acao=analisou os resultados | valor=4716
linha=97 | nome=Otavio | acao=estudou computacao | valor=3317
linha=98 | nome=Tiago | acao=participou da aula | valor=7104
linha=99 | nome=Joao | acao=comparou as metricas | valor=6442
linha=100 | nome=Karen | acao=executou o benchmark | valor=1045
linha=101 | nome=Karen | acao=escreveu o relatorio | valor=3373
linha=102 | nome=Igor | acao=estudou computacao | valor=8824
linha=103 | nome=Renata | acao=executou o benchmark | valor=2621
linha=104 | nome=Vitor | acao=escreveu o relatorio | valor=2552
linha=105 | nome=Bruno | acao=estudou computacao | valor=8382
linha=106 | nome=Eduarda | acao=executou o benchmark | valor=6056
linha=107 | nome=Otavio | acao=executou o benchmark | valor=2535
linha=108 | nome=Paulo | acao=comparou as metricas | valor=8889
linha=109 | nome=Natalia | acao=fez um experimento | valor=3876
linha=110 | nome=Paulo | acao=participou da aula | valor=6065
linha=111 | nome=Daniela | acao=analisou os resultados | valor=9033
linha=112 | nome=Helena | acao=participou da aula | valor=3670
linha=113 | nome=Paulo | acao=participou da aula | valor=3089
linha=114 | nome=Renata | acao=escreveu o relatorio | valor=5904
linha=115 | nome=Karen | acao=analisou os resultados | valor=9126
linha=116 | nome=Natalia | acao=participou da aula | valor=2007
linha=117 | nome=Felipe | acao=executou o benchmark | valor=7925
linha=118 | nome=Sofia | acao=escreveu o relatorio | valor=4052
linha=119 | nome=Carlos | acao=otimizou o algoritmo | valor=7202
linha=120 | nome=Gabriela | acao=otimizou o algoritmo | valor=2148
linha=121 | nome=Vitor | acao=otimizou o algoritmo | valor=4978
linha=122 | nome=Joao | acao=participou da aula | valor=6741
linha=123 | nome=Karen | acao=comparou as metricas | valor=8620
linha=124 | nome=Carlos | acao=otimizou o algoritmo | valor=1079
